product_name,barcode,category_level1,category_level2,category_level3,category_level4
PANTHENOL EXTRA PANTHENOL EXTRA MEN 3IN1 CLEANSER 200 ML,5200312248236,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,ΠΕΡΙΠΟΙΗΣΗ ΣΩΜΑΤΟΣ,BODY CLEANSING,SHOWER GELS (BODY WASH)
"PANTHENOL EXTRA PANTHENOL EXTRA MEN MEN 3IN1 CLEANSER MEN'S CLEANSER FOR FACE, BODY & HAIR 500 ML",5200312248243,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,ΠΕΡΙΠΟΙΗΣΗ ΣΩΜΑΤΟΣ,BODY CLEANSING,SHOWER GELS (BODY WASH)
PANTHENOL EXTRA PANTHENOL EXTRA MEN EAU DE TOILETTE WOOD CHOCOLATE ORIENTAL MEN FRAGRANCE 100 ML,5200312248328,ΟΜΟΡΦΙΑ,FRAGRANCES,MEN FRAGRANCES,
PANTHENOL EXTRA MEN ROLL ON DEODORANT 50 ML,5200312248342,TOILETR & PERSONAL CARE,DEODORANTS,ROLL ON DEO,
PANTHENOL EXTRA PANTHENOL EXTRA MEN PROMO DOUBLE CARE FOR HIM MOISTURIZING AFTER SHAVE BALM 75 ML & ANTI-WRINKLE FACE & EYE CREAM 75 ML,5200312249127,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,BEAUTY COFFRET,MEN BEAUTY COFFRET,
PANTHENOL EXTRA PROMO PACK FACE & EYE SERUM 30ML & NIGHT CREAM 50ML 1 SET,5200312249134,ΠΕΡΙΠΟΙΗΣΗ ΔΕΡΜΑΤΟΣ,FACE CARE,ANTI-AGING,WOMEN ANTI-AGING COFFR.
DALEE HAIR DETANGLING BRUSH FUCHSIA 1 PCS,5200312250703,ΟΜΟΡΦΙΑ,TOOLS & ACCESSORIES,HAIR ACCESSORIES,HAIR BRUSHES
DALEE DETANGLING BRUSH NATURE 1 PCS,5200312250710,ΟΜΟΡΦΙΑ,TOOLS & ACCESSORIES,HAIR ACCESSORIES,HAIR BRUSHES
DALEE KIDS DETANGLING BRUSH BLUE 1 PCS,5200312250727,ΟΜΟΡΦΙΑ,TOOLS & ACCESSORIES,HAIR ACCESSORIES,HAIR BRUSHES
DALEE DETUNGLING BRUSH FOR KIDS PINK 1 PCS,5200312250734,ΟΜΟΡΦΙΑ,TOOLS & ACCESSORIES,HAIR ACCESSORIES,HAIR BRUSHES
WINTER HERBS COLD & FLU PATCHES 6 PCS,5200312263000,PHARMACEUTICALS,COLD & FLU,,
